episode,label,n_points,initial_m,final_m,improve_pct
11,滚动重规划,7,4488.41,4488.41,0.0
11,滚动重规划,6,3494.64,3494.64,0.0
11,滚动重规划,6,3511.54,3310.93,6.059
11,滚动重规划,5,2552.41,2552.41,0.0
11,滚动重规划,4,2084.75,2084.75,0.0
11,滚动重规划,3,1759.1,1759.1,0.0
11,滚动重规划,2,963.58,963.58,0.0
11,清除顺序,2,2219.27,2219.27,0.0
12,滚动重规划,8,8144.77,8116.69,0.346
12,滚动重规划,7,6748.48,6748.48,0.0
12,滚动重规划,8,6901.62,6879.08,0.328
12,滚动重规划,7,6342.33,6342.33,0.0
12,滚动重规划,6,6191.71,6191.71,0.0
12,滚动重规划,7,5371.93,5371.93,0.0
12,滚动重规划,6,4797.35,4797.35,0.0
12,滚动重规划,5,4526.92,4526.92,0.0
12,滚动重规划,4,4310.87,4310.87,0.0
12,滚动重规划,7,5481.19,5098.3,7.51
12,滚动重规划,6,4674.54,4674.54,0.0
12,滚动重规划,8,4311.16,3361.08,28.267
12,滚动重规划,7,4139.04,3188.97,29.793
12,滚动重规划,6,2552.68,2552.68,0.0
12,滚动重规划,5,1836.16,1836.16,0.0
12,滚动重规划,4,1520.55,1520.55,0.0
12,滚动重规划,3,1243.39,1243.39,0.0
12,滚动重规划,3,2173.48,2173.48,0.0
12,滚动重规划,2,1524.56,1524.56,0.0
13,滚动重规划,8,8144.77,8116.69,0.346
13,滚动重规划,9,7137.11,7137.11,0.0
13,滚动重规划,8,6533.57,6533.57,0.0
13,滚动重规划,7,5907.53,5907.53,0.0
13,滚动重规划,6,5811.74,5811.74,0.0
13,滚动重规划,6,5058.31,5058.31,0.0
13,滚动重规划,5,4651.17,4651.17,0.0
13,滚动重规划,4,4310.87,4310.87,0.0
13,滚动重规划,6,3744.04,3744.04,0.0
13,滚动重规划,5,3417.53,3417.53,0.0
13,滚动重规划,4,2540.57,2540.57,0.0
13,滚动重规划,3,1997.62,1997.62,0.0
13,滚动重规划,2,1470.89,1470.89,0.0
13,滚动重规划,5,3553.16,3553.16,0.0
13,滚动重规划,4,3230.96,3230.96,0.0
13,滚动重规划,3,2448.07,2448.07,0.0
13,滚动重规划,2,1756.03,1756.03,0.0
13,清除顺序,4,2518.75,2518.75,0.0
14,滚动重规划,8,8144.77,8116.69,0.346
14,滚动重规划,10,8081.92,8081.92,0.0
14,滚动重规划,9,7424.04,7424.04,0.0
14,滚动重规划,8,7200.27,7200.27,0.0
14,滚动重规划,7,6867.52,6867.52,0.0
14,滚动重规划,7,7270.83,6538.72,11.197
14,滚动重规划,8,6057.06,6057.06,0.0
14,滚动重规划,7,5353.11,5353.11,0.0
14,滚动重规划,6,4592.28,4592.28,0.0
14,滚动重规划,7,4495.12,4454.9,0.903
14,滚动重规划,6,4054.18,4054.18,0.0
14,滚动重规划,5,3879.21,3879.21,0.0
14,滚动重规划,4,3625.03,3625.03,0.0
14,滚动重规划,4,4830.53,4830.53,0.0
14,滚动重规划,3,3624.79,3624.79,0.0
14,滚动重规划,5,3319.34,3319.34,0.0
14,滚动重规划,4,2436.89,2436.89,0.0
14,滚动重规划,3,1314.32,1314.32,0.0
14,滚动重规划,2,810.94,810.94,0.0
15,滚动重规划,8,8144.77,8116.69,0.346
15,滚动重规划,8,6904.33,6904.33,0.0
15,滚动重规划,7,6311.32,6311.32,0.0
15,滚动重规划,8,6932.1,6932.1,0.0
15,滚动重规划,7,6543.09,6543.09,0.0
15,滚动重规划,6,5449.51,5449.51,0.0
15,滚动重规划,6,5387.66,5387.66,0.0
15,滚动重规划,5,4660.84,4660.84,0.0
15,滚动重规划,4,4067.99,4067.99,0.0
15,滚动重规划,6,6024.86,5291.97,13.849
15,滚动重规划,5,4429.42,4429.42,0.0
15,滚动重规划,4,4216.68,4216.68,0.0
15,滚动重规划,4,3849.76,3849.76,0.0
15,滚动重规划,3,2666.41,2666.41,0.0
15,滚动重规划,2,1495.35,1495.35,0.0
15,滚动重规划,2,1939.84,1939.84,0.0
15,清除顺序,2,666.08,666.08,0.0
16,滚动重规划,8,8144.77,8116.69,0.346
16,滚动重规划,9,7953.88,7488.2,6.219
16,滚动重规划,10,7488.42,7488.42,0.0
16,滚动重规划,9,7406.99,7406.99,0.0
16,滚动重规划,8,6811.21,6811.21,0.0
16,滚动重规划,7,6473.7,6473.7,0.0
16,滚动重规划,8,6664.16,6610.81,0.807
16,滚动重规划,7,5919.95,5919.95,0.0
16,滚动重规划,6,5618.09,5618.09,0.0
16,滚动重规划,7,5402.81,5402.81,0.0
16,滚动重规划,6,4577.94,4577.94,0.0
16,滚动重规划,6,4145.41,4145.41,0.0
16,滚动重规划,5,3784.2,3784.2,0.0
16,滚动重规划,4,3304.4,3304.4,0.0
16,滚动重规划,4,4850.01,4850.01,0.0
16,滚动重规划,3,3579.72,3579.72,0.0
16,滚动重规划,3,2662.89,2662.89,0.0
16,滚动重规划,2,1986.34,1986.34,0.0
17,滚动重规划,8,8144.77,8116.69,0.346
17,滚动重规划,8,7491.23,7491.23,0.0
17,滚动重规划,7,6603.8,6603.8,0.0
17,滚动重规划,9,8116.85,8116.85,0.0
17,滚动重规划,8,7447.31,7447.31,0.0
17,滚动重规划,7,7132.38,7132.38,0.0
17,滚动重规划,6,5724.7,5724.7,0.0
17,滚动重规划,6,6452.56,6452.56,0.0
17,滚动重规划,5,5729.19,5729.19,0.0
17,滚动重规划,5,4424.3,4410.58,0.311
17,滚动重规划,7,4286.01,4224.05,1.467
17,滚动重规划,6,4104.8,4104.8,0.0
17,滚动重规划,5,3885.29,3885.29,0.0
17,滚动重规划,4,3445.86,3445.86,0.0
17,滚动重规划,3,3061.6,3061.6,0.0
17,滚动重规划,3,3131.62,3131.62,0.0
17,滚动重规划,2,2260.02,2260.02,0.0
17,滚动重规划,3,3441.76,3441.76,0.0
17,滚动重规划,2,2581.6,2581.6,0.0
18,滚动重规划,8,8144.77,8116.69,0.346
18,滚动重规划,10,8122.0,8122.0,0.0
18,滚动重规划,9,7622.53,7622.53,0.0
18,滚动重规划,8,7299.36,7299.36,0.0
18,滚动重规划,8,7026.12,7026.12,0.0
18,滚动重规划,7,6553.72,6553.72,0.0
18,滚动重规划,9,7898.33,6461.97,22.228
18,滚动重规划,8,6542.19,5859.77,11.646
18,滚动重规划,7,6412.64,5207.3,23.147
18,滚动重规划,8,7079.92,5316.24,33.175
18,滚动重规划,7,5058.23,4426.16,14.28
18,滚动重规划,6,3735.73,3129.38,19.376
18,滚动重规划,5,3186.22,2835.33,12.375
18,滚动重规划,4,2332.55,2332.55,0.0
18,滚动重规划,5,2150.88,2150.88,0.0
18,滚动重规划,4,1848.92,1848.92,0.0
18,滚动重规划,3,927.92,927.92,0.0
18,滚动重规划,3,1072.24,1072.24,0.0
18,滚动重规划,2,718.09,718.09,0.0
18,清除顺序,3,1323.06,1323.06,0.0
19,滚动重规划,8,8144.77,8116.69,0.346
19,滚动重规划,10,7259.18,7259.18,0.0
19,滚动重规划,10,7708.19,7615.91,1.212
19,滚动重规划,9,7489.79,7397.51,1.247
19,滚动重规划,8,7130.62,7130.62,0.0
19,滚动重规划,9,8329.52,8255.77,0.893
19,滚动重规划,8,7805.22,7731.47,0.954
19,滚动重规划,7,7483.33,7409.58,0.995
19,滚动重规划,7,7678.81,7506.56,2.295
19,滚动重规划,6,6601.34,6601.34,0.0
19,滚动重规划,5,5088.02,4989.53,1.974
19,滚动重规划,6,4300.23,4300.23,0.0
19,滚动重规划,5,3968.57,3968.57,0.0
19,滚动重规划,6,3459.0,3459.0,0.0
19,滚动重规划,5,2737.68,2737.68,0.0
19,滚动重规划,4,1546.13,1546.13,0.0
19,滚动重规划,3,1311.21,1311.21,0.0
19,滚动重规划,2,1269.35,1269.35,0.0
20,滚动重规划,8,8144.77,8116.69,0.346
20,滚动重规划,9,7987.7,7506.04,6.417
20,滚动重规划,8,7423.77,6942.11,6.938
20,滚动重规划,8,5889.88,5889.88,0.0
20,滚动重规划,7,5197.03,5197.03,0.0
20,滚动重规划,12,9148.91,8395.18,8.978
20,滚动重规划,11,8487.35,7510.8,13.002
20,滚动重规划,12,9458.19,6674.76,41.701
20,滚动重规划,11,6881.15,6251.96,10.064
20,滚动重规划,10,6548.86,5919.67,10.629
20,滚动重规划,9,6366.69,5737.5,10.966
20,滚动重规划,9,6425.11,5925.73,8.427
20,滚动重规划,8,5659.65,5028.84,12.544
20,滚动重规划,8,6841.6,6214.7,10.087
20,滚动重规划,7,6053.45,5426.55,11.552
20,滚动重规划,8,5471.75,5025.74,8.875
20,滚动重规划,7,4937.29,4491.28,9.931
20,滚动重规划,6,4697.97,4251.96,10.49
20,滚动重规划,5,3576.58,3130.56,14.247
20,滚动重规划,4,2739.74,2739.74,0.0
20,清除顺序,3,1914.16,1914.16,0.0
