episode,ga,label,seed,generation,best,mean,std
1,localize,频道7,0,81,0.37036,4.08698,4.32804
1,localize,频道7,0,86,0.37036,4.31763,4.54121
1,localize,频道7,0,91,0.37036,4.06874,4.26943
1,localize,频道7,0,96,0.37036,3.63341,4.29392
1,localize,频道7,0,101,0.370297,3.2029,3.45138
1,localize,频道7,0,106,0.370297,2.8198,3.3804
1,localize,频道7,0,111,0.370297,3.26272,3.2507
1,localize,频道7,0,116,0.370297,2.15632,2.21229
1,localize,频道7,0,121,0.370297,2.06147,2.3331
1,localize,频道7,0,126,0.370292,2.04614,1.83508
1,localize,频道7,0,131,0.370292,2.14062,2.20542
1,localize,频道7,0,136,0.370292,1.49752,1.40784
1,localize,频道7,0,141,0.370291,1.38783,1.39544
1,localize,频道7,0,146,0.37029,1.33203,1.29697
1,localize,频道7,0,150,0.37029,0.979497,0.884026
1,localize,频道8,0,0,0.5518,132.055,62.7203
1,localize,频道8,0,1,0.5518,69.2501,47.9469
1,localize,频道8,0,6,0.5518,10.7091,10.9696
1,localize,频道8,0,11,0.5518,10.3033,12.5939
1,localize,频道8,0,16,0.5518,10.3487,13.4546
1,localize,频道8,0,21,0.5518,10.9463,12.0555
1,localize,频道8,0,26,0.5518,9.04436,12.0184
1,localize,频道8,0,31,0.5518,6.72389,7.80033
1,localize,频道8,0,36,0.5518,7.75474,8.01969
1,localize,频道8,0,41,0.5518,9.09456,10.9415
1,localize,频道8,0,46,0.5518,7.73437,10.3316
1,localize,频道8,0,51,0.5518,6.98854,7.16227
1,localize,频道8,0,56,0.5518,7.29548,8.41144
1,localize,频道8,0,61,0.5518,8.477,8.89773
1,localize,频道8,0,66,0.5518,7.98438,9.0342
1,localize,频道8,0,71,0.5518,7.07901,6.791
1,localize,频道8,0,76,0.5518,5.78092,6.96537
1,localize,频道8,0,81,0.5518,5.32165,5.88467
1,localize,频道8,0,86,0.5518,5.59933,6.01067
1,localize,频道8,0,91,0.5518,5.93171,6.1447
1,localize,频道8,0,96,0.5518,5.21025,5.34865
1,localize,频道8,0,101,0.5518,4.75575,5.1119
1,localize,频道8,0,106,0.5518,3.66357,3.81044
1,localize,频道8,0,111,0.5518,4.45454,4.20052
1,localize,频道8,0,116,0.5518,3.35616,3.34313
1,localize,频道8,0,121,0.5518,3.15547,3.29111
1,localize,频道8,0,126,0.5518,3.13617,3.29325
1,localize,频道8,0,131,0.5518,2.98505,2.88517
1,localize,频道8,0,136,0.5518,2.36707,2.4088
1,localize,频道8,0,141,0.5518,2.05636,1.87866
1,localize,频道8,0,146,0.5518,1.99612,1.56127
1,localize,频道8,0,150,0.5518,1.48574,1.17891
1,localize,频道9,0,0,0.531768,127.69,57.1931
1,localize,频道9,0,1,0.531768,74.5858,36.7707
1,localize,频道9,0,6,0.531768,18.8618,21.641
1,localize,频道9,0,11,0.486985,14.517,18.938
1,localize,频道9,0,16,0.484684,15.2699,18.2655
1,localize,频道9,0,21,0.484684,18.4729,23.5609
1,localize,频道9,0,26,0.480968,12.9454,16.1948
1,localize,频道9,0,31,0.480358,12.623,16.3916
1,localize,频道9,0,36,0.480358,14.1128,17.0872
1,localize,频道9,0,41,0.480358,13.9891,17.5037
1,localize,频道9,0,46,0.480043,11.8206,14.5226
1,localize,频道9,0,51,0.47973,11.7342,14.6314
1,localize,频道9,0,56,0.47973,10.501,12.2403
1,localize,频道9,0,61,0.47973,16.5382,20.762
1,localize,频道9,0,66,0.47973,11.3674,11.703
1,localize,频道9,0,71,0.47973,14.9492,18.587
1,localize,频道9,0,76,0.47973,8.92384,11.6929
1,localize,频道9,0,81,0.479721,9.14447,10.114
1,localize,频道9,0,86,0.479709,11.7756,15.3083
1,localize,频道9,0,91,0.479707,10.5616,14.1264
1,localize,频道9,0,96,0.479707,6.79574,7.08127
1,localize,频道9,0,101,0.479707,7.50548,9.28733
1,localize,频道9,0,106,0.479707,6.46984,8.87183
1,localize,频道9,0,111,0.479707,7.35358,7.64065
1,localize,频道9,0,116,0.479707,4.95947,6.87963
1,localize,频道9,0,121,0.479707,4.45358,6.12899
1,localize,频道9,0,126,0.479707,4.5332,4.38517
1,localize,频道9,0,131,0.479704,5.22226,6.02358
1,localize,频道9,0,136,0.479704,3.13571,3.43377
1,localize,频道9,0,141,0.479704,2.95847,3.21923
1,localize,频道9,0,146,0.479704,2.76548,3.30066
1,localize,频道9,0,150,0.479704,2.04145,2.43212
1,localize,频道11,0,0,0.0391747,115.033,53.3349
1,localize,频道11,0,1,0.0391747,66.3417,35.585
1,localize,频道11,0,6,0.0391747,11.3469,10.9249
1,localize,频道11,0,11,0.0391747,8.42048,10.4118
1,localize,频道11,0,16,0.0391747,9.18395,11.8275
1,localize,频道11,0,21,0.0391747,9.37922,9.89896
1,localize,频道11,0,26,0.0391747,7.1454,9.43989
1,localize,频道11,0,31,0.0337331,6.10917,8.53776
1,localize,频道11,0,36,0.0337331,7.94674,12.2441
1,localize,频道11,0,41,0.0337331,7.74587,9.44629
1,localize,频道11,0,46,0.0337331,6.33049,7.54263
1,localize,频道11,0,51,0.0336997,5.88427,6.94094
1,localize,频道11,0,56,0.0336997,5.39302,6.28356
1,localize,频道11,0,61,0.0336997,7.64736,8.91106
1,localize,频道11,0,66,0.0336997,6.84856,7.45425
1,localize,频道11,0,71,0.0336997,6.65595,6.81874
1,localize,频道11,0,76,0.0336997,4.71551,5.56542
1,localize,频道11,0,81,0.0336997,4.40758,4.96434
1,localize,频道11,0,86,0.0336997,4.72727,5.10045
1,localize,频道11,0,91,0.0336997,4.8112,5.27782
1,localize,频道11,0,96,0.0336997,4.03456,4.00421
1,localize,频道11,0,101,0.0336997,3.99009,4.60527
1,localize,频道11,0,106,0.0336997,3.00017,3.53001
1,localize,频道11,0,111,0.0336997,3.68663,3.8884
1,localize,频道11,0,116,0.0336997,2.67507,2.90049
1,localize,频道11,0,121,0.0336997,2.38837,2.63267
1,localize,频道11,0,126,0.0336997,2.49728,2.75237
1,localize,频道11,0,131,0.0336909,2.32899,2.44915
1,localize,频道11,0,136,0.0336909,1.74532,2.08649
1,localize,频道11,0,141,0.0336909,1.62066,1.81223
1,localize,频道11,0,146,0.0336909,1.39413,1.34281
1,localize,频道11,0,150,0.0336909,0.971469,1.1182
1,localize,频道12,0,0,0.0854288,113.77,51.828
1,localize,频道12,0,1,0.0854288,71.4402,40.4489
1,localize,频道12,0,6,0.0854288,13.8814,12.8145
1,localize,频道12,0,11,0.0854288,18.5614,21.5306
1,localize,频道12,0,16,0.0854288,18.5478,21.9042
1,localize,频道12,0,21,0.0848738,17.9604,20.9833
1,localize,频道12,0,26,0.0848738,16.7536,20.8448
1,localize,频道12,0,31,0.0848738,13.8245,19.3353
1,localize,频道12,0,36,0.0848738,15.6473,16.8373
1,localize,频道12,0,41,0.0848738,17.8095,21.7125
1,localize,频道12,0,46,0.0848738,14.7453,18.4685
1,localize,频道12,0,51,0.0848738,11.9077,15.451
1,localize,频道12,0,56,0.0848738,17.2728,24.0941
1,localize,频道12,0,61,0.0848738,14.2753,13.8982
1,localize,频道12,0,66,0.0848738,17.2194,18.9558
1,localize,频道12,0,71,0.0848738,13.7188,15.9579
1,localize,频道12,0,76,0.0848738,12.7109,16.5909
1,localize,频道12,0,81,0.0848738,12.8556,18.4298
1,localize,频道12,0,86,0.0848738,12.2522,16.1705
1,localize,频道12,0,91,0.0848738,10.8447,15.2031
1,localize,频道12,0,96,0.0848229,13.194,19.1036
1,localize,频道12,0,101,0.0847496,11.6563,16.2538
1,localize,频道12,0,106,0.0847496,7.67182,12.2822
1,localize,频道12,0,111,0.0847144,11.4684,16.6801
1,localize,频道12,0,116,0.0847144,7.21261,9.52155
1,localize,频道12,0,121,0.0847144,8.17823,12.7133
1,localize,频道12,0,126,0.0847144,6.62752,8.87233
1,localize,频道12,0,131,0.0847144,5.82905,6.40102
1,localize,频道12,0,136,0.0847144,4.11037,5.81258
1,localize,频道12,0,141,0.0847144,4.8522,7.21196
1,localize,频道12,0,146,0.0847144,4.37731,5.32884
1,localize,频道12,0,150,0.0847144,3.00387,3.81794
1,localize,频道13,0,0,0.0827108,122.579,63.4445
1,localize,频道13,0,1,0.0827108,60.8438,45.2968
1,localize,频道13,0,6,0.064278,8.9023,11.8527
1,localize,频道13,0,11,0.064278,6.26818,7.20246
1,localize,频道13,0,16,0.0630806,6.14291,7.65537
1,localize,频道13,0,21,0.0630806,8.16391,11.2948
1,localize,频道13,0,26,0.0630806,5.44461,6.22249
1,localize,频道13,0,31,0.0630806,4.90404,6.15433
1,localize,频道13,0,36,0.0630806,5.54575,6.05296
1,localize,频道13,0,41,0.0630806,6.48034,6.87092
1,localize,频道13,0,46,0.0630806,5.46369,6.83358
1,localize,频道13,0,51,0.0630806,4.50174,4.96273
1,localize,频道13,0,56,0.0630806,4.82474,5.73159
1,localize,频道13,0,61,0.0630806,5.65179,7.25742
1,localize,频道13,0,66,0.0630806,5.08333,4.69787
1,localize,频道13,0,71,0.0630806,4.81279,5.38068
1,localize,频道13,0,76,0.0630806,3.4985,3.98646
1,localize,频道13,0,81,0.0630806,4.0135,4.51852
1,localize,频道13,0,86,0.0630806,4.1007,4.78846
1,localize,频道13,0,91,0.0630806,3.86663,4.00702
1,localize,频道13,0,96,0.0630806,3.42384,4.19781
1,localize,频道13,0,101,0.0630806,2.96228,3.4807
1,localize,频道13,0,106,0.0630806,2.67115,3.46014
1,localize,频道13,0,111,0.0630806,2.96617,3.10719
1,localize,频道13,0,116,0.0630806,1.83283,2.19658
1,localize,频道13,0,121,0.0630511,1.85935,2.35612
1,localize,频道13,0,126,0.0630511,1.78504,1.76068
1,localize,频道13,0,131,0.0630507,2.04894,2.04377
1,localize,频道13,0,136,0.0630507,1.23758,1.36004
1,localize,频道13,0,141,0.0630507,1.23437,1.47127
1,localize,频道13,0,146,0.0630507,1.13297,1.40093
1,localize,频道13,0,150,0.0630429,0.809093,0.985462
1,localize,频道15,0,0,0.390363,127.726,58.913
1,localize,频道15,0,1,0.390363,70.8941,44.1968
1,localize,频道15,0,6,0.382856,11.6912,13.7619
1,localize,频道15,0,11,0.29978,12.8676,17.7314
1,localize,频道15,0,16,0.293363,11.086,13.7557
