episode,channel,x_m,y_m,outcome,theta_deg,stage
2,1,925.0,1602.15,no_signal,,sweep
2,2,0.0,0.0,no_signal,,sweep
2,2,961.27,-166.95,no_signal,,sweep
2,2,508.27,-848.27,no_signal,,sweep
2,2,-314.31,-931.09,no_signal,,sweep
2,2,-902.87,-372.0,no_signal,,sweep
2,2,-878.56,438.35,no_signal,,sweep
2,2,-234.57,967.4,no_signal,,sweep
2,2,0.0,1850.0,no_signal,,sweep
2,2,-925.0,1602.15,no_signal,,sweep
2,2,-1602.15,925.0,no_signal,,sweep
2,2,-1850.0,0.0,no_signal,,sweep
2,2,-1602.15,-925.0,no_signal,,sweep
2,2,-925.0,-1602.15,no_signal,,sweep
2,2,-0.0,-1850.0,no_signal,,sweep
2,2,925.0,-1602.15,no_signal,,sweep
2,2,1602.15,-925.0,no_signal,,sweep
2,2,1850.0,0.0,no_signal,,sweep
2,2,1602.15,925.0,no_signal,,sweep
2,2,856.23,898.93,no_signal,,sweep
2,2,925.0,1602.15,no_signal,,sweep
2,3,0.0,0.0,no_signal,,sweep
2,3,961.27,-166.95,no_signal,,sweep
2,3,508.27,-848.27,no_signal,,sweep
2,3,-314.31,-931.09,no_signal,,sweep
2,3,-902.87,-372.0,no_signal,,sweep
2,3,-878.56,438.35,no_signal,,sweep
2,3,-234.57,967.4,no_signal,,sweep
2,3,0.0,1850.0,no_signal,,sweep
2,3,-925.0,1602.15,no_signal,,sweep
2,3,-1602.15,925.0,no_signal,,sweep
2,3,-1850.0,0.0,no_signal,,sweep
2,3,-1602.15,-925.0,no_signal,,sweep
2,3,-925.0,-1602.15,no_signal,,sweep
2,3,-0.0,-1850.0,no_signal,,sweep
2,3,925.0,-1602.15,no_signal,,sweep
2,3,1602.15,-925.0,no_signal,,sweep
2,3,1850.0,0.0,direction,132.07,sweep
2,3,1602.15,925.0,direction,191.61,sweep
2,3,856.23,898.93,no_signal,,sweep
2,3,925.0,1602.15,no_signal,,sweep
2,4,0.0,0.0,direction,2.94,sweep
2,4,961.27,-166.95,direction,28.12,sweep
2,4,1602.15,-925.0,direction,99.59,sweep
2,4,1850.0,0.0,direction,168.99,sweep
2,5,0.0,0.0,no_signal,,sweep
2,5,961.27,-166.95,no_signal,,sweep
2,5,508.27,-848.27,no_signal,,sweep
2,5,-314.31,-931.09,no_signal,,sweep
2,5,-902.87,-372.0,no_signal,,sweep
2,5,-878.56,438.35,no_signal,,sweep
2,5,-234.57,967.4,no_signal,,sweep
2,5,0.0,1850.0,no_signal,,sweep
2,5,-925.0,1602.15,no_signal,,sweep
2,5,-1602.15,925.0,no_signal,,sweep
2,5,-1850.0,0.0,no_signal,,sweep
2,5,-1602.15,-925.0,no_signal,,sweep
2,5,-925.0,-1602.15,no_signal,,sweep
2,5,-0.0,-1850.0,no_signal,,sweep
2,5,925.0,-1602.15,no_signal,,sweep
2,5,1602.15,-925.0,no_signal,,sweep
2,5,1850.0,0.0,no_signal,,sweep
2,5,1602.15,925.0,no_signal,,sweep
2,5,856.23,898.93,no_signal,,sweep
2,5,925.0,1602.15,no_signal,,sweep
2,6,0.0,0.0,no_signal,,sweep
2,6,961.27,-166.95,no_signal,,sweep
2,6,508.27,-848.27,no_signal,,sweep
2,6,-314.31,-931.09,no_signal,,sweep
2,6,-902.87,-372.0,no_signal,,sweep
2,6,-878.56,438.35,no_signal,,sweep
2,6,-234.57,967.4,no_signal,,sweep
2,6,0.0,1850.0,no_signal,,sweep
2,6,-925.0,1602.15,no_signal,,sweep
2,6,-1602.15,925.0,no_signal,,sweep
2,6,-1850.0,0.0,no_signal,,sweep
2,6,-1602.15,-925.0,no_signal,,sweep
2,6,-925.0,-1602.15,no_signal,,sweep
2,6,-0.0,-1850.0,no_signal,,sweep
2,6,925.0,-1602.15,no_signal,,sweep
2,6,1602.15,-925.0,no_signal,,sweep
2,6,1850.0,0.0,no_signal,,sweep
2,6,1602.15,925.0,no_signal,,sweep
2,6,856.23,898.93,no_signal,,sweep
2,6,925.0,1602.15,no_signal,,sweep
2,7,0.0,0.0,no_signal,,sweep
2,7,961.27,-166.95,direction,346.74,sweep
2,7,508.27,-848.27,direction,31.63,sweep
2,7,1602.15,-925.0,direction,103.92,sweep
2,8,0.0,0.0,direction,274.56,sweep
2,8,961.27,-166.95,direction,233.14,sweep
2,8,508.27,-848.27,direction,227.52,sweep
2,8,-314.31,-931.09,direction,319.69,sweep
2,9,0.0,0.0,direction,125.31,sweep
2,9,-902.87,-372.0,no_signal,,sweep
2,9,-878.56,438.35,direction,78.04,sweep
2,9,-234.57,967.4,direction,166.77,sweep
2,10,0.0,0.0,no_signal,,sweep
2,10,961.27,-166.95,no_signal,,sweep
2,10,508.27,-848.27,no_signal,,sweep
2,10,-314.31,-931.09,no_signal,,sweep
2,10,-902.87,-372.0,no_signal,,sweep
2,10,-878.56,438.35,no_signal,,sweep
2,10,-234.57,967.4,no_signal,,sweep
2,10,0.0,1850.0,no_signal,,sweep
2,10,-925.0,1602.15,no_signal,,sweep
2,10,-1602.15,925.0,no_signal,,sweep
2,10,-1850.0,0.0,no_signal,,sweep
2,10,-1602.15,-925.0,no_signal,,sweep
2,10,-925.0,-1602.15,no_signal,,sweep
2,10,-0.0,-1850.0,no_signal,,sweep
2,10,925.0,-1602.15,no_signal,,sweep
2,10,1602.15,-925.0,no_signal,,sweep
2,10,1850.0,0.0,no_signal,,sweep
2,10,1602.15,925.0,no_signal,,sweep
2,10,856.23,898.93,no_signal,,sweep
2,10,925.0,1602.15,no_signal,,sweep
2,11,0.0,0.0,no_signal,,sweep
2,11,961.27,-166.95,direction,330.91,sweep
2,11,508.27,-848.27,direction,22.25,sweep
2,11,1602.15,-925.0,direction,105.75,sweep
2,12,0.0,0.0,no_signal,,sweep
2,12,961.27,-166.95,no_signal,,sweep
2,12,508.27,-848.27,no_signal,,sweep
2,12,-314.31,-931.09,no_signal,,sweep
2,12,-902.87,-372.0,no_signal,,sweep
2,12,-878.56,438.35,no_signal,,sweep
2,12,-234.57,967.4,no_signal,,sweep
2,12,0.0,1850.0,no_signal,,sweep
2,12,-925.0,1602.15,no_signal,,sweep
2,12,-1602.15,925.0,no_signal,,sweep
2,12,-1850.0,0.0,no_signal,,sweep
2,12,-1602.15,-925.0,no_signal,,sweep
2,12,-925.0,-1602.15,no_signal,,sweep
2,12,-0.0,-1850.0,no_signal,,sweep
2,12,925.0,-1602.15,no_signal,,sweep
2,12,1602.15,-925.0,no_signal,,sweep
2,12,1850.0,0.0,no_signal,,sweep
2,12,1602.15,925.0,no_signal,,sweep
2,12,856.23,898.93,no_signal,,sweep
2,12,925.0,1602.15,no_signal,,sweep
2,13,0.0,0.0,direction,330.10,sweep
2,13,961.27,-166.95,direction,273.76,sweep
2,13,508.27,-848.27,direction,29.97,sweep
2,14,0.0,0.0,direction,226.66,sweep
2,14,508.27,-848.27,direction,153.37,sweep
2,14,-314.31,-931.09,direction,97.93,sweep
2,15,0.0,0.0,no_signal,,sweep
2,15,961.27,-166.95,no_signal,,sweep
2,15,508.27,-848.27,no_signal,,sweep
2,15,-314.31,-931.09,no_signal,,sweep
2,15,-902.87,-372.0,no_signal,,sweep
2,15,-878.56,438.35,no_signal,,sweep
2,15,-234.57,967.4,no_signal,,sweep
2,15,0.0,1850.0,no_signal,,sweep
2,15,-925.0,1602.15,no_signal,,sweep
2,15,-1602.15,925.0,no_signal,,sweep
2,15,-1850.0,0.0,no_signal,,sweep
2,15,-1602.15,-925.0,no_signal,,sweep
